Time,               Close,Daily_Transcations
2014-03-10,621.99,66786
2014-03-11,622.9,76086
2014-03-12,642.1,76019
2014-03-13,642.61,75356
2014-03-14,636.47,68735
2014-03-15,636.29,65898
2014-03-16,634.94,58730
2014-03-17,624.7,64937
2014-03-18,627,57881
2014-03-19,608.41,67419
2014-03-20,590,72117
2014-03-21,579.99,73981
2014-03-22,557,69139
2014-03-23,567.13,56822
2014-03-24,572,67382
2014-03-25,580.02,72484
2014-03-26,585.7,69897
2014-03-27,520.2,70940
2014-03-28,503,69155
2014-03-29,499.94,54949
2014-03-30,449.02,55333
2014-03-31,457,63096
2014-04-01,479.51,64692
2014-04-02,445,66756
2014-04-03,446.31,67292
2014-04-04,446.01,65578
